Name,Level,Attribute,Type,Attack,Defense,Description,Card Number,isPendulum,isXyz,isSynchro,isSynchroTuner,isFusion,isRitual,CardImage,Rarity,Edition
Archfiend Marmot of Nefariousness,2,Earth,Beast,400,600,An air marmot that has a nefarious horn and wings. It attacks by throwing acorns.,75889523,N,N,N,N,N,N,ArchfiendMarmotofNefariousness.jpg,Common,1
Archfiend Mirror,2,Dark,Fiend,700,600,A wicked mirror that hypnotizes enemies diverting attacks from their intended targets.,15150371,N,N,N,N,N,N,ArchfiendMirror.jpg,Common,1
Battle Ox,4,Earth,Beast-Warrior,1700,1000,A monster with tremendous power it destroys enemies with a swing of its axe.,5053103,N,N,N,N,N,N,Battle Ox.png,Common,1
Beast Fangs,0,Spell,Equip,0,0,A Beast-Type monster equipped with this card increases its ATK and DEF by 300 points.,46009906,N,N,N,N,N,N,BeastFangs.jpg,Rare,1
Blue-Eyes White Dragon,8,Light,Dragon,3000,2500,This legendary dragon is a powerful engine of destruction. Virtually invincible very few have faced this awesome creature and lived to tell the tale.,89631139,N,N,N,N,N,N,Blue-Eyes White Dragon.png,Ultra Rare,1
Book of Secret Arts,0,Spell,Equip,0,0,A Spellcaster-Type monster equipped with this card increases its ATK and DEF by 300 points.,91595718,N,N,N,N,N,N,BookofSecretArts.png,Rare,1
Candle of Fate,2,Dark,Fiend,600,600,Decides the fate of an opponent when the candle on its fingertip burns out.,47695416,N,N,N,N,N,N,CandleofFate.jpg,Common,1
Curtain of the Dark Ones,2,Dark,Spellcaster,600,500,A curtain that a spellcaster made it is said to raise a dark power.,22026707,N,N,N,N,N,N,CurtainoftheDarkOnes.png,Common,1
D. Human,4,Earth,Warrior,1300,1100,Gifted with the power of dragons this warrior wields a sword created from a dragon's fang.,81057959,N,N,N,N,N,N,D Human.png,Common,1
Dark Assailant,4,Dark,Zombie,1200,1200,Armed with the Psycho Sword this sinister assassin rules the bad land.,41949033,N,N,N,N,N,N,Dark Assailant.png,Common,1
Dark Energy,0,Spell,Equip,0,0,Increase the ATK and DEF of a Fiend-Type monster equipped with this card by 300 points.,4614116,N,N,N,N,N,N,Dark Energy.jpg,Common,1
Dark Gray,3,Earth,Beast,800,900,Entirely gray this beast has rarely been seen by mortal eyes.,9159938,N,N,N,N,N,N,DarkGray.jpg,Common,1
Dark Hole,0,Spell,Normal,0,0,Destroy all monsters on the field.,53129443,N,N,N,N,N,N,DarkHole.png,Super Rare,1
Dark Magician,7,Dark,Spellcaster,2500,2100,The ultimate wizard in terms of attack and defense,46986414,N,N,N,N,N,N,DarkMagician.png,Ultra Rare,1
Dark Titan of Terror,4,Dark,Fiend,1300,1100,A fiend said to dwell in the world of dreams it attacks enemies in their sleep.,89494469,N,N,N,N,N,N,Dark Titan Of Terror.png,Common,1
De-Spell,0,Spell,Normal,0,0,Select 1 Spell Card on the field and destroy it. If the selected card is Set pick up and see the card. If it is a Spell Card it is destroyed. If it is a Trap Card return it to its original position.,19159413,N,N,N,N,N,N,De-Spell.jpg,Common,1
Destroyer Golem,4,Earth,Rock,1500,1000,A golem with a massive right hand for crushing its victims.,73481154,N,N,N,N,N,N,Destroyer Golem.jpg,Common,1
Eyearmor,2,Earth,Warrior,600,500,This warrior transforms into various creatures to confuse enemies in battle.,64511793,N,N,N,N,N,N,Eyearmor.jpg,Common,1
Fiend's Hand,2,Dark,Zombie,600,600,Arms that reach out from the Swamp of Chaos to drag down the damned.,52800428,N,N,N,N,N,N,FiendsHand.jpg,Common,1
Fire Reaper,2,Dark,Zombie,700,500,A reaper with a flaming arrow that burns an enemy to a crisp.,53581214,N,N,N,N,N,N,FireReaper.jpg,Common,1
Firegrass,2,Earth,Plant,700,600,A fire-breathing plant found growing near volcanoes.,53293545,N,N,N,N,N,N,Firegrass.jpg,Common,1
Fissure,0,Spell,Normal,0,0,Destroy the 1 face-up monster your opponent controls that has the lowest ATK (your choice if tied).,66788016,N,N,N,N,N,N,Fissure.png,Super Rare,1
Gaia The Fierce Knight,7,Earth,Warrior,2300,2100,A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.,6368038,N,N,N,N,N,N,GaiaTheFierceKnight.png,Ultra Rare,1
Gyakutenno Megami,6,Light,Fairy,1800,2000,This fairy uses her mystical power to protect the weak and provide spiritual support.,31122090,N,N,N,N,N,N,Gyakutenno Megami.jpg,Ultra Rare,1
Haniwa,2,Earth,Rock,500,500,An earthen figure that protects the tomb of an ancient ruler.,84285623,N,N,N,N,N,N,Haniwa.jpg,Common,1
Hitodenchak,2,Water,Aqua,600,700,A rabid starfish that spits a lethal acid that can melt almost anything.,46718686,N,N,N,N,N,N,Hitodenchak.jpg,Common,1
